#SLINE  RLINE  SOU_X  SOU_Y  REC_X  REC_Y  OFFSET  SR_AZIM  REC_ELEV  SOURCE  NODE  SRF_SLOC  FB_PICK  FB_SMTH  EVENT
25130019 366202 287352.90000 7440843.90000 291815.50000 7442077.40000 4629.93747 74.54876 100.00000 2585 39 2822 2165.52734 2165.52734 add
25130019 366202 287352.90000 7440843.90000 291803.09000 7442099.10000 4623.82072 74.24861 100.00000 2585 40 2816 2162.57031 2162.57031 add
25130019 366202 287352.90000 7440843.90000 291790.40000 7442120.70000 4617.53446 73.94791 100.00000 2585 41 2810 2159.95679 2159.95679 add
25130019 366202 287352.90000 7440843.90000 291777.50000 7442142.30000 4611.17422 73.64566 101.00000 2585 42 2804 108.51948 142.77739 add
25130019 366202 287352.90000 7440843.90000 291764.20000 7442163.50000 4604.44479 73.34593 100.00000 2585 43 2798 142.77739 142.77739 add
25130019 366202 287352.90000 7440843.90000 291750.90000 7442184.80000 4597.87090 73.04413 100.00000 2585 44 2792 195.93353 171.51956 add
25130019 366202 287352.90000 7440843.90000 291737.80000 7442205.90000 4591.55660 72.74461 100.00000 2585 45 2786 171.51956 195.93353 add
25130019 366202 287352.90000 7440843.90000 291725.40000 7442227.70000 4586.24669 72.43857 100.00000 2585 46 2780 2112.46484 2110.71484 add
25130019 366202 287352.90000 7440843.90000 291713.80000 7442250.00000 4581.98276 72.12894 100.00000 2585 47 2774 2110.71484 2110.83203 add
25130019 366202 287352.90000 7440843.90000 291701.70000 7442272.00000 4577.28424 71.82037 100.00000 2585 48 2768 2110.83203 2110.71484 add
25130019 366202 287352.90000 7440843.90000 291689.50000 7442293.90000 4572.59221 71.51195 100.00000 2585 49 2762 2109.35547 2109.35547 add
25130019 366202 287352.90000 7440843.90000 291677.40000 7442316.00000 4568.19206 71.20095 101.00000 2585 50 2756 2107.34766 2107.34766 add
25130019 366202 287352.90000 7440843.90000 291665.09000 7442337.90000 4563.66285 70.89086 100.00000 2585 51 2750 2104.83203 2104.83203 add
25130019 366202 287352.90000 7440843.90000 291652.59000 7442359.60000 4559.02189 70.58174 100.00000 2585 52 2744 2102.93750 2102.93750 add
25130019 366202 287352.90000 7440843.90000 291640.20000 7442381.40000 4554.65120 70.27129 100.00000 2585 53 2738 2100.40625 2100.40625 add
25130019 366202 287352.90000 7440843.90000 291627.50000 7442402.90000 4550.02046 69.96246 100.00000 2585 54 2732 2098.37891 2098.37891 add
25130019 366202 287352.90000 7440843.90000 291614.50000 7442424.30000 4545.20613 69.65287 100.00000 2585 55 2726 2096.23047 2096.23047 add
25130019 366202 287352.90000 7440843.90000 291601.00000 7442445.40000 4539.95109 69.34396 100.00000 2585 56 2720 2095.01562 2095.01562 add
25130019 366202 287352.90000 7440843.90000 291588.09000 7442466.90000 4535.52239 69.03228 100.00000 2585 57 2714 2039.53516 2039.53516 add
25130019 366202 287352.90000 7440843.90000 291576.40000 7442489.20000 4532.65533 68.71618 100.00000 2585 58 2708 2036.74219 2039.53516 add
25130019 366202 287352.90000 7440843.90000 291564.80000 7442511.20000 4529.89966 68.40364 100.00000 2585 59 2702 2090.87891 2089.38672 add
25130019 366202 287352.90000 7440843.90000 291552.80000 7442533.10000 4526.87051 68.09001 100.00000 2585 60 2696 2089.38672 2089.38672 add
25130019 366202 287352.90000 7440843.90000 291540.59000 7442554.90000 4523.74497 67.77613 100.00000 2585 61 2690 3.20000 3.20000 add
25130019 366202 287352.90000 7440843.90000 291528.50000 7442576.60000 4520.82787 67.46359 100.00000 2585 62 2684 3.20000 3.20000 add
25130019 366202 287352.90000 7440843.90000 291516.09000 7442598.30000 4517.75058 67.14907 101.00000 2585 63 2678 3.20000 3.20000 add
25130019 366202 287352.90000 7440843.90000 291503.40000 7442620.10000 4514.59153 66.83157 101.00000 2585 64 2672 2033.53784 129.21869 add
25130019 366202 287352.90000 7440843.90000 291490.50000 7442641.60000 4511.25914 66.51607 100.00000 2585 65 2666 129.21869 129.21869 add
25130019 366202 287352.90000 7440843.90000 291477.40000 7442662.90000 4507.80005 66.20141 100.00000 2585 66 2660 109.75394 109.75394 add
25130019 366202 287352.90000 7440843.90000 291464.59000 7442684.20000 4504.74181 65.88778 100.00000 2585 67 2654 105.24994 105.24994 add
25130019 366202 287352.90000 7440843.90000 291451.50000 7442705.60000 4501.60514 65.57111 100.00000 2565 68 2648 104.41801 105.24994 add
25130019 366202 287352.90000 7440843.90000 291438.09000 7442727.00000 4498.31557 65.25229 100.00000 2585 69 2642 221.82425 166.26176 add
